,text,label
0,"['bolos', 'jepang', 'thailand', 'pakai', 'ragu']",positif
1,"['ketemu', 'prim', 'ketemu', 'terang']",positif
2,"['menghancurkan', 'dalam']",positif
3,"['hayoyooooo', 'reputasi', 'bersedia', 'pacarku']",positif
4,"['udah', 'suka', 'terang', 'cuma-cuma', 'ga', 'ngefangirling', 'gila']",positif
5,"['terang', 'pacar', 'pacarku']",positif
6,"['deh', 'namanya', 'telor', 'gulung']",positif
7,"['makan', 'seblak']",positif
8,"['pos', 'rambut', 'barunya']",positif
9,"['coba', 'bondol']",positif
10,['kangen'],positif
11,"['berikutnya', 'perjalanan']",positif
12,['cantik'],positif
13,"['gws', 'ko', 'kepin']",positif
14,"['semangat', 'astaga']",positif
15,"['lanjutkan', 'trakteer', 'memang', 'semangat', 'mendukung', 'pencipta', 'berkarya']",positif
16,"['dengar', 'berikan', 'terbaik', 'semangat']",positif
17,"['bahas', 'trakteer', 'ngga', 'ayah', 'salahin', 'nyumbang', 'semangat']",positif
18,"['deh', 'oi', 'ngehubungin', 'gaji', 'alias', 'ga', 'nyambung', 'bjir', 'aneh']",negatif
19,"['semangat', 'ngejar', 'sasaran', 'nya']",positif
20,"['benar', 'ngerasain', 'kadang', 'langganan', 'bernilai', 'dapetin', 'nilai', 'diharapin']",positif
21,"['santuy', 'sayang', 'kesenjangan', 'deh']",positif
22,"['yeayyy', 'mendukung', 'pencipta']",positif
23,"['yuk', 'semangatin', 'biar', 'keren']",positif
24,"['ha', 'ha', 'beneran', 'habisnya', 'tuh', 'ngemis', 'melulu']",negatif
25,"['mantap', 'semangat']",positif
26,"['trakteer', 'beneran', 'konten', 'konten', 'pencipta', 'kan']",positif
27,"['gpp', 'tetep', 'semangat']",positif
28,"['tertawa', 'terbahak-bahak', 'beneran', 'suka', 'gtu', 'gorengan', 'konten', 'konten', 'cari', 'sensasi']",negatif
29,"['apa2', 'dukung', 'bilang', 'pengemis', 'iri']",positif
30,"['gaji', 'ga', 'diatas', '10jtbulan', 'cuma-cuma', 'trakteer', 'beli', 'mobil', 'khas', 'sdm', 'rendah', 'ha', 'ha', 'ha']",negatif
31,"['tergantung', 'kerangka', 'berpikir', 'kerangka', 'berpikir', 'beda', 'beda', 'sah', 'sah', 'aja', 'suka', 'berpikir']",positif
32,"['semangatt', 'kak']",positif
33,"['mendukung', 'pencipta', 'maju']",positif
34,"['tenang', 'buruk', 'beda', 'mengapresiasi', 'konten', 'konten', 'pencipta']",positif
35,"['kocak', 'deh', 'ngemis', 'melulu', 'nakal', 'nakal']",negatif
36,"['trakteer', 'bukannya', 'pencipta']",positif
37,"['bener', 'sungguh', 'kaya', 'kapal', 'selam', 'instagram', 'semangat', 'kakak']",positif
38,['kyuttt'],positif
39,"['gausah', 'ngatain', 'foma', 'fomo', 'foma', 'fomo', 'gak', 'ngikutin', 'pita', 'cuman', 'konsennya', 'kan', 'donate', 'ditujukannya', 'buka', 'donate', 'nya', 'salah', 'tujuan', 'donat']",negatif
40,"['ohh', 'pemain', 'permainan', 'kan', 'rau', 'dunia', 'perdonate', 'tuh', 'pita', 'konten', 'konten', 'pencipta', 'cosplayer', 'donate', 'ga', 'serius', 'cepat', 'beginian']",negatif
41,"['yoii', 'ga', 'bodoh', 'kaya', 'hakim', 'salah', 'ga', 'pita', 'kontwk', 'pencipta', 'kaya', 'mas', 'donate', 'lunya']",negatif
42,"['pakai', 'otak', 'cibirin', '.', 'biar', 'ga', 'kemakan', 'isu']",negatif
43,"['akun', 'akun', 'asli', 'mikir', 'dunia', 'donate', 'sok', 'serius', 'kaya', 'mas', 'donate', 'tolol', 'r7', 'udah', 't']",negatif
44,"['lahhhh', 'gabakalan', 'ngasi', 'memek', 'bela', 'serius', 'kasi', 'petunjuk', 'kemakan', 'otak', 'pakai', 'fomo']",negatif
45,"['skrng', 'salah', 'lihat', 'pita', 'donate', 'ga', 'lihat', 'diem', 'fomo', 'juli', 'malu', 'sendri']",negatif
46,"['elu', 'kemakan', 'strategi', 'viralin', 'tolol', 'sungguh', 'berlari', 'ga', 'donate', 'cuman', 'juli', 'dalam', 'beli', 'mobil', 'murni', 'uang', 'hasil', 'donate', 'donate', 'a']",negatif
47,"['pintar', 'amp']",positif
