;conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;label
0;1,78E+33;Sun Apr 28 08:37:58 +0000 2024;0;@livyyrenata You bolos aja ke jepang ya kali ke thailand pake ragu ;1,7845E+18;;livyyrenata;in;pekanbaru;0;0;0;https://twitter.com/reveiraaa/status/1784502305355944420;301978390;reveiraaa;positif
1;1,78E+33;Sun Apr 28 04:26:30 +0000 2024;0;@livyyrenata with me please mau ketemu prim terus tar lu ketemu bright;1,78444E+18;;livyyrenata;in;22+;0;0;0;https://twitter.com/vjendraal/status/1784439019457384664;1,6211E+18;vjendraal;positif
2;1,78E+34;Sat Apr 27 15:05:10 +0000 2024;0;@convomfs pernah crush in @livyyrenata;1,78424E+18;;convomfs;in;22+;0;0;0;https://twitter.com/vjendraal/status/1784237358730346875;1,6211E+18;vjendraal;positif
3;1,78E+34;Fri Apr 26 13:34:00 +0000 2024;0;hayoyooooo rep = kamu bersedia menjadi pacarku @livyyrenata;1,78385E+18;;;in; 𝙠𝙞𝙣𝙙𝙖 𝙨𝙚𝙡𝙚𝙘𝙩𝙞𝙫𝙚;0;0;0;https://twitter.com/cakekaine_/status/1783852028101619874;1,55103E+18;cakekaine_;positif
4;1,78E+34;Fri Apr 26 12:05:28 +0000 2024;1;@sleezechit @livyyrenata udh sering di mention sama dia kalo dia suka sama bright wkwk cuma y ga kek kita yg ngefangirling kek orgil;1,78383E+18;;sleezechit;in; 𝙠𝙞𝙣𝙙𝙖 𝙨𝙚𝙡𝙚𝙘𝙩𝙞𝙫𝙚;0;0;0;https://twitter.com/cakekaine_/status/1783829746826215700;1,55103E+18;cakekaine_;positif
5;1,78E+34;Fri Apr 26 11:55:44 +0000 2024;4;livy bright udah punya pacar jadi lebih baik kamu jadi pacarku @livyyrenata https://t.co/bRZ4xQNKFz;1,78383E+18;https://pbs.twimg.com/media/GMFtdcPaYAAmieP.jpg;;in; 𝙠𝙞𝙣𝙙𝙖 𝙨𝙚𝙡𝙚𝙘𝙩𝙞𝙫𝙚;0;3;0;https://twitter.com/cakekaine_/status/1783827296954273801;1,55103E+18;cakekaine_;positif
6;1,78E+31;Fri Apr 19 08:49:25 +0000 2024;1;@livyyrenata dah tau yg namanya telor gulung;1,78124E+18;;livyyrenata;in;Indonesia;0;0;0;https://twitter.com/junirakhmatp/status/1781243695666446636;1,6827E+18;junirakhmatp;positif
7;1,78E+31;Thu Apr 18 12:36:06 +0000 2024;1;@livyyrenata Liv yuk makan seblak ;1,78094E+18;;livyyrenata;in;East Java, Indonesia;0;0;0;https://twitter.com/rudee_balboa/status/1780938353480970265;4906692626;rudee_balboa;positif
8;1,78E+31;Thu Apr 18 10:52:17 +0000 2024;2;@livyyrenata Post rambut barunya dong Livy;1,78091E+18;;livyyrenata;in;Jakarta • Jambi • Indonesia;0;0;0;https://twitter.com/ClintonChow7/status/1780912228428034460;85523088;ClintonChow7;positif
9;1,78E+31;Thu Apr 18 08:53:32 +0000 2024;1;@livyyrenata Livy coba kamu bondol;1,78088E+18;;livyyrenata;in;;0;1;0;https://twitter.com/emangsiyaz/status/1780882342539858095;491966412;emangsiyaz;positif
